4024
ssideki2|neogeo.c
2
061-v1.bin|0x000000|0x200000|0xf081c8d3
061-v2.bin|0x200000|0x200000|0x7cd63302
spinmast|neogeo.c
1
062-v1.bin|0x000000|0x100000|0xcc281aef
samsho2|neogeo.c
4
063-v1.bin|0x000000|0x200000|0x37703f91
063-v2.bin|0x200000|0x200000|0x0142bde8
063-v3.bin|0x400000|0x200000|0xd07fa5ca
063-v4.bin|0x600000|0x100000|0x24aab4bb
wh2j|neogeo.c
2
064-v1.bin|0x000000|0x200000|0xaa277109
064-v2.bin|0x200000|0x200000|0xb6527edd
wjammers|neogeo.c
4
065-v1.bin|0x000000|0x100000|0xce8b3698
065-v2.bin|0x100000|0x100000|0x659f9b96
065-v3.bin|0x200000|0x100000|0x39f73061
065-v4.bin|0x300000|0x080000|0x3740edde
karnovr|neogeo.c
1
066-v1.bin|0x000000|0x200000|0x0b7ea37a
gururin|neogeo.c
1
067-v1.bin|0x000000|0x80000|0xcf23afd0
pspikes2|neogeo.c
3
068-v1.bin|0x000000|0x100000|0x2ced86df
068-v2.bin|0x100000|0x100000|0x970851ab
068-v3.bin|0x200000|0x100000|0x81ff05aa
fatfury3|neogeo.c
3
069-v1.bin|0x000000|0x400000|0x2bdbd4db
069-v2.bin|0x400000|0x400000|0xa698a487
069-v3.bin|0x800000|0x200000|0x581c5304
panicbom|neogeo.c
2
073-v1.bin|0x000000|0x200000|0x7fc86d2f
073-v2.bin|0x200000|0x100000|0x082adfc7
aodk|neogeo.c
2
074-v1.bin|0x000000|0x200000|0x7675b8fa
074-v2.bin|0x200000|0x200000|0xa9da86e9
sonicwi2|neogeo.c
2
075-v1.bin|0x000000|0x200000|0x7577e949
075-v2.bin|0x200000|0x080000|0x6d0a728e
zedblade|neogeo.c
3
076-v1.bin|0x000000|0x200000|0x1a21d90c
076-v2.bin|0x200000|0x200000|0xb61686c3
076-v3.bin|0x400000|0x100000|0xb90658fa
galaxyfg|neogeo.c
3
078-v1.bin|0x000000|0x200000|0xe3b735ac
078-v2.bin|0x200000|0x200000|0x6a8e78c2
078-v3.bin|0x400000|0x100000|0x70bca656
strhoop|neogeo.c
2
079-v1.bin|0x000000|0x200000|0x718a2400
079-v2.bin|0x200000|0x080000|0xb19884f8
quizkof|neogeo.c
3
080-v1.bin|0x000000|0x200000|0x0be18f60
080-v2.bin|0x200000|0x200000|0x4abde3ff
080-v3.bin|0x400000|0x200000|0xf02844e2
ssideki3|neogeo.c
3
081-v1.bin|0x000000|0x200000|0x201fa1e1
081-v2.bin|0x200000|0x200000|0xacf29d96
081-v3.bin|0x400000|0x200000|0xe524e415
doubledr|neogeo.c
2
082-v1.bin|0x000000|0x200000|0xcc1128e4
082-v2.bin|0x200000|0x200000|0xc3ff5554
pbobblen|neogeo.c
2
083-v3.bin|0x200000|0x100000|0x0840cbc4
083-v4.bin|0x300000|0x080000|0x0a548948
kof95|neogeo.c
3
084-v1.bin|0x000000|0x400000|0x21469561
084-v2.bin|0x400000|0x200000|0xb38a2803
084-v3.bin|0x800000|0x100000|0xd683a338
tws96|neogeo.c
2
086-v1.bin|0x000000|0x200000|0x97bf1986
086-v2.bin|0x200000|0x200000|0xb7eb05df
samsho3|neogeo.c
2
087-v1.bin|0x000000|0x400000|0x84bdd9a0
087-v2.bin|0x400000|0x200000|0xac0f261a
stakwin|neogeo.c
1
088-v1.bin|0x000000|0x200000|0xb7785023
pulstar|neogeo.c
2
089-v1.bin|0x000000|0x400000|0xb458ded2
089-v2.bin|0x400000|0x400000|0x9d2db551
whp|neogeo.c
3
090-v1.bin|0x000000|0x200000|0x30cf2709
090-v2.bin|0x200000|0x200000|0xb6527edd
090-v3.bin|0x400000|0x200000|0x1908a7ce
kabukikl|neogeo.c
4
092-v1.bin|0x000000|0x200000|0x69e90596
092-v2.bin|0x200000|0x200000|0x7abdb75d
092-v3.bin|0x400000|0x200000|0xeccc98d3
092-v4.bin|0x600000|0x100000|0xa7c9c949
neobombe|neogeo.c
2
093-v1.bin|0x200000|0x200000|0x43057e99
093-v2.bin|0x400000|0x200000|0xa92b8b3d
gowcaizr|neogeo.c
3
094-v1.bin|0x000000|0x200000|0x6c31223c
094-v2.bin|0x200000|0x200000|0x8edb776c
094-v3.bin|0x400000|0x100000|0xc63b9285
rbff1|neogeo.c
3
069-v1.bin|0x000000|0x400000|0x2bdbd4db
069-v2.bin|0x400000|0x400000|0xa698a487
095-v3.bin|0x800000|0x400000|0x189d1c6c
aof3|neogeo.c
3
096-v1.bin|0x000000|0x200000|0xe2c32074
096-v2.bin|0x200000|0x200000|0xa290eee7
096-v3.bin|0x400000|0x200000|0x199d12ea
sonicwi3|neogeo.c
2
097-v1.bin|0x000000|0x400000|0x6f885152
097-v2.bin|0x400000|0x100000|0x32187ccd
turfmast|neogeo.c
4
200-v1.bin|0x000000|0x200000|0x00fd48d2
200-v2.bin|0x200000|0x200000|0x082acb31
200-v3.bin|0x400000|0x200000|0x7abca053
200-v4.bin|0x600000|0x200000|0x6c7b4902
mslug|neogeo.c
2
201-v1.bin|0x000000|0x400000|0x23d22ed1
201-v2.bin|0x400000|0x400000|0x472cf9db
puzzledp|neogeo.c
1
202-v1.bin|0x000000|0x080000|0xdebeb8fb
mosyougi|neogeo.c
1
203-v1.bin|0x000000|0x200000|0xbaa2b9a5
marukodq|neogeo.c
2
206-v1.bin|0x000000|0x200000|0x5385eca8
206-v2.bin|0x200000|0x200000|0xf8c55404
neomrdo|neogeo.c
1
207-v1.bin|0x000000|0x200000|0x4143c052
sdodgeb|neogeo.c
2
208-v1.bin|0x000000|0x200000|0x8b53e945
208-v2.bin|0x200000|0x200000|0xaf37ebf8
goalx3|neogeo.c
1
209-v1.bin|0x000000|0x200000|0xef214212
overtop|neogeo.c
1
212-v1.bin|0x000000|0x400000|0x013d4ef9
neodrift|neogeo.c
2
213-v1.bin|0x000000|0x200000|0xa421c076
213-v2.bin|0x200000|0x200000|0x233c7dd9
kof96|neogeo.c
3
214-v1.bin|0x000000|0x400000|0x63f7b045
214-v2.bin|0x400000|0x400000|0x25929059
214-v3.bin|0x800000|0x200000|0x92a2257d
ssideki4|neogeo.c
2
215-v1.bin|0x200000|0x200000|0xc4bfed62
215-v2.bin|0x400000|0x200000|0x1bfa218b
kizuna|neogeo.c
4
216-v1.bin|0x000000|0x200000|0x530c50fd
216-v2.bin|0x200000|0x200000|0x03667a8d
216-v3.bin|0x400000|0x200000|0x7038c2f9
216-v4.bin|0x600000|0x200000|0x31b99bd6
ninjamas|neogeo.c
2
217-v1.bin|0x000000|0x400000|0x1c34e013
217-v2.bin|0x400000|0x200000|0x22f1c681
ragnagrd|neogeo.c
2
218-v1.bin|0x000000|0x400000|0x61eee7f4
218-v2.bin|0x400000|0x400000|0x6104e20b
pgoal|neogeo.c
2
219-v1.bin|0x000000|0x200000|0x2cc1bd05
219-v2.bin|0x200000|0x200000|0x06ac1d3f
magdrop2|neogeo.c
1
221-v1.bin|0x000000|0x200000|0x7e5e53e4
samsho4|neogeo.c
3
222-v1.bin|0x000000|0x400000|0x7d6ba95f
222-v2.bin|0x400000|0x400000|0x6c33bb5d
222-v3.bin|0x800000|0x200000|0x831ea8c0
rbffspec|neogeo.c
3
223-v1.bin|0x000000|0x400000|0x76673869
223-v2.bin|0x400000|0x400000|0x7a275acd
223-v3.bin|0x800000|0x400000|0x5a797fd2
twinspri|neogeo.c
2
224-v1.bin|0x000000|0x400000|0xff57f088
224-v2.bin|0x400000|0x200000|0x7ad26599
wakuwak7|neogeo.c
2
225-v1.bin|0x000000|0x400000|0x6195c6b4
225-v2.bin|0x400000|0x400000|0x6159c5fe
stakwin2|neogeo.c
2
227-v1.bin|0x000000|0x400000|0xb8f24181
227-v2.bin|0x400000|0x400000|0xee39e260
breakers|neogeo.c
2
230-v1.bin|0x000000|0x400000|0x7f9ed279
230-v2.bin|0x400000|0x400000|0x1d43e420
miexchng|neogeo.c
1
231-v1.bin|0x000000|0x400000|0x113fb898
kof97|neogeo.c
3
232-v1.bin|0x000000|0x400000|0x22a2b5b5
232-v2.bin|0x400000|0x400000|0x2304e744
232-v3.bin|0x800000|0x400000|0x759eb954
magdrop3|neogeo.c
2
233-v1.bin|0x000000|0x400000|0x58839298
233-v2.bin|0x400000|0x080000|0xd5e30df4
lastblad|neogeo.c
4
234-v1.bin|0x000000|0x400000|0xed66b76f
234-v2.bin|0x400000|0x400000|0xa0e7f6e2
234-v3.bin|0x800000|0x400000|0xa506e1e2
234-v4.bin|0xc00000|0x200000|0x13583c4b
puzzldpr|neogeo.c
1
202-v1.bin|0x000000|0x080000|0xdebeb8fb
irrmaze|neogeo.c
5
ng-sm1.rom|0x00000|0x20000|0x97cf998b  /* we don't use the BIOS anyway... */
236-m1.bin|0x00000|0x20000|0x880a1abd  /* so overwrite it with the real thing */
ng-lo.rom|0x00000|0x10000|0xe09e253c  /* Y zoom control */
236-v1.bin|0x000000|0x200000|0x5f89c3b4
236-v2.bin|0x000000|0x100000|0x1e843567
popbounc|neogeo.c
1
237-v1.bin|0x000000|0x200000|0xedcb1beb
shocktro|neogeo.c
2
238-v1.bin|0x000000|0x400000|0x260c0bef
238-v2.bin|0x400000|0x200000|0x4ad7d59e
shocktrj|neogeo.c
2
238-v1.bin|0x000000|0x400000|0x260c0bef
238-v2.bin|0x400000|0x200000|0x4ad7d59e
blazstar|neogeo.c
2
239-v1.bin|0x000000|0x400000|0x1b8d5bf7
239-v2.bin|0x400000|0x400000|0x74cf0a70
rbff2|neogeo.c
4
240-v1.bin|0x000000|0x400000|0xf796265a
240-v2.bin|0x400000|0x400000|0x2cb3f3bb
240-v3.bin|0x800000|0x400000|0xdf77b7fa
240-v4.bin|0xc00000|0x400000|0x33a356ee
mslug2|neogeo.c
2
241-v1.bin|0x000000|0x400000|0x99ec20e8
241-v2.bin|0x400000|0x400000|0xecb16799
kof98|neogeo.c
4
242-v1.bin|0x000000|0x400000|0xb9ea8051
242-v2.bin|0x400000|0x400000|0xcc11106e
242-v3.bin|0x800000|0x400000|0x044ea4e1
242-v4.bin|0xc00000|0x400000|0x7985ea30
lastbld2|neogeo.c
4
243-v1.bin|0x000000|0x400000|0xf7ee6fbb
243-v2.bin|0x400000|0x400000|0xaa9e4df6
243-v3.bin|0x800000|0x400000|0x4ac750b2
243-v4.bin|0xc00000|0x400000|0xf5c64ba6
neocup98|neogeo.c
2
244-v1.bin|0x000000|0x400000|0x79def46d
244-v2.bin|0x400000|0x200000|0xb231902f
breakrev|neogeo.c
2
245-v1.bin|0x000000|0x400000|0xe255446c
245-v2.bin|0x400000|0x400000|0x9068198a
shocktr2|neogeo.c
3
246-v1.bin|0x000000|0x400000|0x16986fc6
246-v2.bin|0x400000|0x400000|0xada41e83
246-v3.bin|0x800000|0x200000|0xa05ba5db
flipshot|neogeo.c
1
247-v1.bin|0x000000|0x200000|0x42ec743d
pbobbl2n|neogeo.c
2
248-v1.bin|0x000000|0x400000|0x57fde1fa
248-v2.bin|0x400000|0x400000|0x4b966ef3
ctomaday|neogeo.c
2
249-v1.bin|0x000000|0x400000|0xde7c8f27
249-v2.bin|0x400000|0x100000|0xc8e40119
mslugx|neogeo.c
3
250-v1.bin|0x000000|0x400000|0xc79ede73
250-v2.bin|0x400000|0x400000|0xea9aabe1
250-v3.bin|0x800000|0x200000|0x2ca65102
kof99|neogeo.c
5
ng-sfix.rom|0x000000|0x20000|0x354029fc
251-v1.bin|0x000000|0x400000|0xef2eecc8
251-v2.bin|0x400000|0x400000|0x73e211ca
251-v3.bin|0x800000|0x400000|0x821901da
251-v4.bin|0xc00000|0x200000|0xb49e6178
kof99e|neogeo.c
5
ng-sfix.rom|0x000000|0x20000|0x354029fc
251-v1.bin|0x000000|0x400000|0xef2eecc8
251-v2.bin|0x400000|0x400000|0x73e211ca
251-v3.bin|0x800000|0x400000|0x821901da
251-v4.bin|0xc00000|0x200000|0xb49e6178
kof99n|neogeo.c
5
ng-sfix.rom|0x000000|0x20000|0x354029fc
251-v1.bin|0x000000|0x400000|0xef2eecc8
251-v2.bin|0x400000|0x400000|0x73e211ca
251-v3.bin|0x800000|0x400000|0x821901da
251-v4.bin|0xc00000|0x200000|0xb49e6178
kof99p|neogeo.c
4
251-v1.bin|0x000000|0x400000|0xef2eecc8
251-v2.bin|0x400000|0x400000|0x73e211ca
251-v3.bin|0x800000|0x400000|0x821901da
251-v4.bin|0xc00000|0x200000|0xb49e6178
ganryu|neogeo.c
2
ng-sfix.rom|0x000000|0x20000|0x354029fc
252-v1.bin|0x000000|0x400000|0xe5946733
garou|neogeo.c
5
ng-sfix.rom|0x000000|0x20000|0x354029fc
253-v1.bin|0x000000|0x400000|0x263e388c
253-v2.bin|0x400000|0x400000|0x2c6bc7be
253-v3.bin|0x800000|0x400000|0x0425b27d
253-v4.bin|0xc00000|0x400000|0xa54be8a9
garouo|neogeo.c
5
ng-sfix.rom|0x000000|0x20000|0x354029fc
253-v1.bin|0x000000|0x400000|0x263e388c
253-v2.bin|0x400000|0x400000|0x2c6bc7be
253-v3.bin|0x800000|0x400000|0x0425b27d
253-v4.bin|0xc00000|0x400000|0xa54be8a9
garoup|neogeo.c
4
253-v1p.bin|0x000000|0x400000|0x274f3923
253-v2p.bin|0x400000|0x400000|0x8f86dabe
253-v3p.bin|0x800000|0x400000|0x05fd06cd
253-v4p.bin|0xc00000|0x400000|0x14984063
s1945p|neogeo.c
5
ng-sfix.rom|0x000000|0x20000|0x354029fc
254-v1.bin|0x000000|0x400000|0x844f58fb
254-v2.bin|0x400000|0x400000|0xd9a248f0
254-v3.bin|0x800000|0x400000|0x0b0d2d33
254-v4.bin|0xc00000|0x400000|0x6d13dc91
preisle2|neogeo.c
3
ng-sfix.rom|0x000000|0x20000|0x354029fc
255-v1.bin|0x000000|0x400000|0x5a14543d
255-v2.bin|0x400000|0x200000|0x6610d91a
mslug3|neogeo.c
5
ng-sfix.rom|0x000000|0x20000|0x354029fc
256-v1.bin|0x000000|0x400000|0xf2690241
256-v2.bin|0x400000|0x400000|0x7e2a10bd
256-v3.bin|0x800000|0x400000|0x0eaec17c
256-v4.bin|0xc00000|0x400000|0x9b4b22d4
mslug3n|neogeo.c
5
ng-sfix.rom|0x000000|0x20000|0x354029fc
256-v1.bin|0x000000|0x400000|0xf2690241
256-v2.bin|0x400000|0x400000|0x7e2a10bd
256-v3.bin|0x800000|0x400000|0x0eaec17c
256-v4.bin|0xc00000|0x400000|0x9b4b22d4
kof2000|neogeo.c
6
ng-sfix.rom|0x000000|0x20000|0x354029fc
257-m1.bin|0x00000|0x40000|0x4b749113
257-v1.bin|0x000000|0x400000|0x17cde847
257-v2.bin|0x400000|0x400000|0x1afb20ff
257-v3.bin|0x800000|0x400000|0x4605036a
257-v4.bin|0xc00000|0x400000|0x764bbd6b
kof2000n|neogeo.c
6
ng-sfix.rom|0x000000|0x20000|0x354029fc
257-m1.bin|0x00000|0x40000|0x4b749113
257-v1.bin|0x000000|0x400000|0x17cde847
257-v2.bin|0x400000|0x400000|0x1afb20ff
257-v3.bin|0x800000|0x400000|0x4605036a
257-v4.bin|0xc00000|0x400000|0x764bbd6b
bangbead|neogeo.c
3
259-v1.bin|0x000000|0x200000|0xe97b9385
259-v2.bin|0x200000|0x200000|0xb0cbd70a
259-v3.bin|0x400000|0x100000|0x97528fe9
nitd|neogeo.c
2
ng-sfix.rom|0x000000|0x20000|0x354029fc
260-v1.bin|0x000000|0x400000|0x24b0480c
zupapa|neogeo.c
2
ng-sfix.rom|0x000000|0x20000|0x354029fc
070-v1.bin|0x000000|0x200000|0xd3a7e1ff
sengoku3|neogeo.c
5
ng-sfix.rom|0x000000|0x20000|0x354029fc
261-v1.bin|0x000000|0x400000|0x64c30081
261-v2.bin|0x400000|0x400000|0x392a9c47
261-v3.bin|0x800000|0x400000|0xc1a7ebe3
261-v4.bin|0xc00000|0x200000|0x9000d085
kof2001|neogeo.c
6
ng-sfix.rom|0x000000|0x20000|0x354029fc
262-m1.bin|0x00000|0x20000|0x00000000
262-v1.bin|0x000000|0x400000|0x83d49ecf
262-v2.bin|0x400000|0x400000|0x003f1843
262-v3.bin|0x800000|0x400000|0x2ae38dbe
262-v4.bin|0xc00000|0x400000|0x26ec4dd9
mslug4|neogeo.c
4
ng-sfix.rom|0x000000|0x20000|0x354029fc
263-m1.bin|0x00000|0x10000|0x38ffad14
263-v1.bin|0x000000|0x800000|0x01e9b9cd
263-v2.bin|0x800000|0x800000|0x4ab2bf81
rotd|neogeo.c
4
ng-sfix.rom|0x000000|0x20000|0x354029fc
264-m1.bin|0x00000|0x10000|0x9abd048c  /* encrypted, we load it here for reference and replace with decrypted ROM */
264-v1.bin|0x000000|0x800000|0xfa005812
264-v2.bin|0x800000|0x800000|0xc3dc8bf0
kof2002|neogeo.c
8
ng-sfix.rom|0x000000|0x20000|0x354029fc
265-m1.bin|0x00000|0x40000|0x7dbab719  /* encrypted, we load it here for reference and replace with decrypted ROM */
265-v1.bin|0x000000|0x800000|0x15e8f3f5
265-v2.bin|0x800000|0x800000|0xda41d6f9
265-v1d.bin|0x000000|0x400000|0x13d98607
265-v2d.bin|0x400000|0x400000|0x9cf74677
265-v3d.bin|0x800000|0x400000|0x8e9448b5
265-v4d.bin|0xc00000|0x400000|0x067271b5
neogeo|neogeo.c
3
ng-sm1.rom|0x00000|0x20000|0x97cf998b
ng-lo.rom|0x00000|0x10000|0xe09e253c  /* Y zoom control */
ng-sfix.rom|0x000000|0x20000|0x354029fc
news|news.c
2
virus.4|0x00000|0x08000|BADCRC( 0xaa005dfb   /* The Original was too short, I padded it with 0xFF */
virus.1|0x00000|0x40000|0x41f5935a
ninjakd2|ninjakd2.c
12
nk2_01.rom|0x00000|0x8000|0x3cdbb906
nk2_02.rom|0x10000|0x8000|0xb5ce9a1a
nk2_03.rom|0x18000|0x8000|0xad275654
nk2_04.rom|0x20000|0x8000|0xe7692a77
nk2_05.rom|0x28000|0x8000|0x5dac9426
nk2_06.rom|0x0000|0x10000|0xd3a18a79  // sound z80 code encrypted
nk2_11.rom|0x00000|0x4000|0x41a714b3  /* background tiles */
nk2_10.rom|0x08000|0x4000|0xc913c4ab
nk2_08.rom|0x00000|0x4000|0x1b79c50a  /* sprites tiles */
nk2_07.rom|0x08000|0x4000|0x0be5cd13
nk2_12.rom|0x00000|0x02000|0xdb5657a9  /* foreground tiles */
nk2_09.rom|0x0000|0x10000|0xc1d2d170  /* raw pcm samples */
ninjak2a|ninjakd2.c
12
nk2_01.bin|0x00000|0x8000|0xe6adca65
nk2_02.bin|0x10000|0x8000|0xd9284bd1
nk2_03.rom|0x18000|0x8000|0xad275654
nk2_04.rom|0x20000|0x8000|0xe7692a77
nk2_05.bin|0x28000|0x8000|0x960725fb
nk2_06.bin|0x10000|0x8000|0x7bfe6c9e  /* decrypted opcodes */
nk2_11.rom|0x00000|0x4000|0x41a714b3  /* background tiles */
nk2_10.rom|0x08000|0x4000|0xc913c4ab
nk2_08.rom|0x00000|0x4000|0x1b79c50a  /* sprites tiles */
nk2_07.rom|0x08000|0x4000|0x0be5cd13
nk2_12.rom|0x00000|0x02000|0xdb5657a9  /* foreground tiles */
nk2_09.rom|0x0000|0x10000|0xc1d2d170  /* raw pcm samples */
ninjak2b|ninjakd2.c
12
1.3s|0x00000|0x8000|0xcb4f4624
2.3q|0x10000|0x8000|0x0ad0c100
nk2_03.rom|0x18000|0x8000|0xad275654
nk2_04.rom|0x20000|0x8000|0xe7692a77
nk2_05.rom|0x28000|0x8000|0x5dac9426
nk2_06.bin|0x10000|0x8000|0x7bfe6c9e  /* decrypted opcodes */
nk2_11.rom|0x00000|0x4000|0x41a714b3  /* background tiles */
nk2_10.rom|0x08000|0x4000|0xc913c4ab
nk2_08.rom|0x00000|0x4000|0x1b79c50a  /* sprites tiles */
nk2_07.rom|0x08000|0x4000|0x0be5cd13
nk2_12.rom|0x00000|0x02000|0xdb5657a9  /* foreground tiles */
nk2_09.rom|0x0000|0x10000|0xc1d2d170  /* raw pcm samples */
rdaction|ninjakd2.c
12
1.3u|0x00000|0x8000|0x5c475611
2.3s|0x10000|0x8000|0xa1e23bd2
nk2_03.rom|0x18000|0x8000|0xad275654
nk2_04.rom|0x20000|0x8000|0xe7692a77
nk2_05.bin|0x28000|0x8000|0x960725fb
nk2_06.bin|0x10000|0x8000|0x7bfe6c9e  /* decrypted opcodes */
nk2_11.rom|0x00000|0x4000|0x41a714b3  /* background tiles */
nk2_10.rom|0x08000|0x4000|0xc913c4ab
nk2_08.rom|0x00000|0x4000|0x1b79c50a  /* sprites tiles */
nk2_07.rom|0x08000|0x4000|0x0be5cd13
12.5n|0x00000|0x02000|0x0936b365  /* foreground tiles */
nk2_09.rom|0x0000|0x10000|0xc1d2d170  /* raw pcm samples */
ninjakun|ninjakid.c
5
ninja-1.7a|0x0000|0x02000|0x1c1dc141
ninja-2.7b|0x2000|0x02000|0x39cc7d37
ninja-3.7d|0x4000|0x02000|0xd542bfe3
ninja-4.7e|0x6000|0x02000|0xa57385c6
ninja-5.7h|0x0000|0x02000|0x164a42c4
ninjaw|ninjaw.c
13
b31_37.11|0x00000|0x04000|0x0ca5799d
b31-01.23|0x00000|0x80000|0x8e8237a7  /* SCR (screen 1 */
b31-02.24|0x80000|0x80000|0x4c3b4e33
b31-07.176|0x000000|0x80000|0x33568cdb  /* OBJ */
b31-06.175|0x080000|0x80000|0x0d59439e
b31-05.174|0x100000|0x80000|0x0a1fc9fb
b31-04.173|0x180000|0x80000|0x2e1e4cb5
b31-09.18|0x000000|0x80000|0x60a73382
b31-10.17|0x080000|0x80000|0xc6434aef
b31-11.16|0x100000|0x80000|0x8da531d4
b31-08.19|0x000000|0x80000|0xa0a1f87d
b31-25.38|0x00000|0x200|0xa0b4ba48
b31-26.58|0x00000|0x200|0x13e5fe15
ninjawj|ninjaw.c
13
b31_37.11|0x00000|0x04000|0x0ca5799d
b31-01.23|0x00000|0x80000|0x8e8237a7  /* SCR (screen 1 */
b31-02.24|0x80000|0x80000|0x4c3b4e33
b31-07.176|0x000000|0x80000|0x33568cdb  /* OBJ */
b31-06.175|0x080000|0x80000|0x0d59439e
b31-05.174|0x100000|0x80000|0x0a1fc9fb
b31-04.173|0x180000|0x80000|0x2e1e4cb5
b31-09.18|0x000000|0x80000|0x60a73382
b31-10.17|0x080000|0x80000|0xc6434aef
b31-11.16|0x100000|0x80000|0x8da531d4
b31-08.19|0x000000|0x80000|0xa0a1f87d
b31-25.38|0x00000|0x200|0xa0b4ba48
b31-26.58|0x00000|0x200|0x13e5fe15
darius2|ninjaw.c
8
c07-28|0x00000|0x04000|0xda304bc5
c07-03.12|0x00000|0x80000|0x189bafce  /* SCR (screen 1 */
c07-04.11|0x80000|0x80000|0x50421e81
c07-01|0x00000|0x80000|0x3cf0f050  /* OBJ */
c07-02|0x80000|0x80000|0x75d16d4b
c07-10.95|0x00000|0x80000|0x4bbe0ed9
c07-11.96|0x80000|0x80000|0x3c815699
c07-12.107|0x00000|0x80000|0xe0b71258
nitedrvr|nitedrvr.c
4
6569-01.d2|0x9000|0x0800|0x7afa7542
6570-01.f2|0x9800|0x0800|0xbf5d77b1
6568-01.p2|0x0000|0x0200|0xf80d8889
6559-01.h7|0x0000|0x0100|0x5a8d0e42  /* unknown */
niyanpai|niyanpai.c
9
npai_03.bin|0x000000|0x20000|0xd154306b
npai_04.bin|0x000000|0x80000|0xbec845b5
npai_05.bin|0x080000|0x80000|0x3300ce07
npai_06.bin|0x100000|0x80000|0x448e4e39
npai_07.bin|0x180000|0x80000|0x2ad47e55
npai_08.bin|0x200000|0x80000|0x2ff980a0
npai_09.bin|0x280000|0x80000|0x74037ee3
npai_10.bin|0x300000|0x80000|0xd35a9af6
npai_11.bin|0x380000|0x80000|0x0748eb73
urashima|nmk16.c
8
um-5.22j|0x000000|0x020000|0x991776a2  /* 8x8 tiles */
um-7.4l|0x000000|0x080000|0xd2a68cfb
um-6.2l|0x000000|0x080000|0x076be5b5
um-10.2b|0x0000|0x0100|0xcfdbb86c  /* unknown */
um-11.2c|0x0100|0x0100|0xff5660cf  /* unknown */
um-12.20c|0x0200|0x0020|0xbdb66b02  /* unknown */
um-13.10l|0x0220|0x0020|0x4ce07ec0  /* unknown */
um-3.22c|0x000000|0x080000|0x9fd8c8fa
vandyke|nmk16.c
7
vdk-4.127|0x00000|0x10000|0xeba544f0
vdk-3.222|0x000000|0x010000|0x5a547c1b  /* 8x8 tiles */
vdk-01.13|0x000000|0x080000|0x195a24be  /* 16x16 tiles */
vdk-02.126|0x000000|0x080000|0xb2103274  /* all banked */
vdk-03.165|0x000000|0x080000|0x631776d3  /* all banked */
ic100.bpr|0x0000|0x0100|0x98ed1c97  /* V-sync hw (unused */
ic101.bpr|0x0100|0x0100|0xcfdbb86c  /* H-sync hw (unused */
tharrier|nmk16.c
8
12|0x00000|0x10000|0xb959f837
1|0x000000|0x10000|0xc7402e4a
89050-4|0x000000|0x80000|0x64d7d687
89050-8|0x00000|0x80000|0x11ee4c39
89050-10|0x00000|0x80000|0x893552ab
25|0x00000|0x100|0xe0a009fe
23|0x00100|0x020|0xfc3569f4
26|0x00120|0x020|0x0cbfb33e
mustang|nmk16.c
7
90058-7|0x00000|0x10000|0x920a93c8
90058-1|0x00000|0x20000|0x81ccfcad
90058-4|0x000000|0x80000|0xa07a2002
90058-5|0x000000|0x80000|0xc60c883e
90058-6|0x000000|0x80000|0x233c1776
10.bpr|0x00000|0x100|0x633ab1c9  /* unknown */
90058-11|0x00100|0x100|0xcfdbb86c  /* unknown */
mustangs|nmk16.c
7
90058-7|0x00000|0x10000|0x920a93c8
90058-1|0x00000|0x20000|0x81ccfcad
90058-4|0x000000|0x80000|0xa07a2002
90058-5|0x000000|0x80000|0xc60c883e
90058-6|0x000000|0x80000|0x233c1776
90058-10|0x00000|0x100|0xde156d99  /* unknown */
90058-11|0x00100|0x100|0xcfdbb86c  /* unknown */
mustangb|nmk16.c
4
mustang.16|0x00000|0x8000|0x99ee7505
90058-1|0x00000|0x20000|0x81ccfcad
90058-4|0x000000|0x80000|0xa07a2002
mustang.17|0x00000|0x10000|0xf6f6c4bf
acrobatm|nmk16.c
9
03_ic79.bin|0x000000|0x10000|0xd86c186e  /* Characters */
09_ic8.bin|0x000000|0x100000|0x7c12afed  /* Foreground */
07_ic42.bin|0x000000|0x100000|0x5672bdaa  /* Sprites */
08_ic29.bin|0x100000|0x080000|0xb4c0ace3
04_ic74.bin|0x00000|0x10000|0x176905fb
05_ic54.bin|0x00000|0x80000|0x3b8c2b0e
06_ic53.bin|0x00000|0x80000|0xc1517cd4
10_ic81.bin|0x0000|0x0100|0xcfdbb86c  /* unknown */
11_ic80.bin|0x0100|0x0100|0x633ab1c9  /* unknown */
bioship|nmk16.c
7
7|0x000000|0x10000|0x2f3f5a10  /* Characters */
sbs-g.01|0x000000|0x80000|0x21302e78  /* Foreground */
sbs-g.03|0x000000|0x80000|0x60e00d7b  /* Sprites */
sbs-g.02|0x000000|0x80000|0xf31eb668  /* Background */
6|0x00000|0x10000|0x5f39a980
sbs-g.04|0x00000|0x80000|0x7c74cc4e
sbs-g.05|0x00000|0x80000|0xf0a782e3
blkheart|nmk16.c
7
4.bin|0x00000|0x10000|0x7cefa295
3.bin|0x000000|0x020000|0xa1ab3a16  /* 8x8 tiles */
90068-5.bin|0x000000|0x100000|0xa1ab4f24  /* 16x16 tiles */
90068-1.bin|0x000000|0x080000|0xe7af69d2  /* all banked */
90068-2.bin|0x000000|0x080000|0x3a583184  /* all banked */
9.bpr|0x0000|0x0100|0x98ed1c97  /* unknown */
10.bpr|0x0100|0x0100|0xcfdbb86c  /* unknown */
blkhearj|nmk16.c
7
4.bin|0x00000|0x10000|0x7cefa295
