4024
univgw1.4|0x4000|0x0400|0x0871156e
univgw2.5|0x4400|0x0400|0x6036d7bf
galxwar2|8080bw.c
2
3192.h6|0x0000|0x1000|0xbde6860b
3193.h7|0x4000|0x1000|0xa17cd507  /* 2nd half unused */
galxwart|8080bw.c
6
galxwars.0|0x0000|0x0400|0x608bfe7f
galxwars.1|0x0400|0x0400|0xa810b258
galxwars.2|0x0800|0x0400|0x74f31781
galxwars.3|0x0c00|0x0400|0xc88f886c
galxwars.4|0x4000|0x0400|0xae4fe8fb
galxwars.5|0x4400|0x0400|0x37708a35
starw|8080bw.c
6
roma|0x0000|0x0400|0x60e8993c
romb|0x0400|0x0400|0xb8060773
romc|0x0800|0x0400|0x307ce6b8
romd|0x1400|0x0400|0x2b0d0a88
rome|0x1800|0x0400|0x5b1c3ad0
romf|0x1c00|0x0400|0xc8e42d3d
lrescue|8080bw.c
7
lrescue.1|0x0000|0x0800|0x2bbc4778
lrescue.2|0x0800|0x0800|0x49e79706
lrescue.3|0x1000|0x0800|0x1ac969be
lrescue.4|0x1800|0x0800|0x782fee3c
lrescue.5|0x4000|0x0800|0x58fde8bc
lrescue.6|0x4800|0x0800|0xbfb0f65d
7643-1.cpu|0x0000|0x0400|0x8b2e38de
grescue|8080bw.c
7
lrescue.1|0x0000|0x0800|0x2bbc4778
lrescue.2|0x0800|0x0800|0x49e79706
lrescue.3|0x1000|0x0800|0x1ac969be
grescue.4|0x1800|0x0800|0xca412991
grescue.5|0x4000|0x0800|0xa419a4d6
lrescue.6|0x4800|0x0800|0xbfb0f65d
7643-1.cpu|0x0000|0x0400|0x8b2e38de
desterth|8080bw.c
8
36_h.bin|0x0000|0x0800|0xf86923e5
35_g.bin|0x0800|0x0800|0x797f440d
34_f.bin|0x1000|0x0800|0x993d0846
33_e.bin|0x1800|0x0800|0x8d155fc5
32_d.bin|0x4000|0x0800|0x3f531b6f
31_c.bin|0x4800|0x0800|0xab019c30
42_b.bin|0x5000|0x0800|0xed9dbac6
7643-1.cpu|0x0000|0x0400|0x8b2e38de
cosmicmo|8080bw.c
7
cosmicmo.1|0x0000|0x0400|0xd6e4e5da
cosmicmo.2|0x0400|0x0400|0x8f7988e6
cosmicmo.3|0x0800|0x0400|0x2d2e9dc8
cosmicmo.4|0x0c00|0x0400|0x26cae456
cosmicmo.5|0x4000|0x0400|0xb13f228e
cosmicmo.6|0x4400|0x0400|0x4ae1b9c4
cosmicmo.7|0x4800|0x0400|0x6a13b15b
superinv|8080bw.c
6
00|0x0000|0x0400|0x7a9b4485
01|0x0400|0x0400|0x7c86620d
02|0x0800|0x0400|0xccaf38f6
03|0x1400|0x0400|0x8ec9eae2
04|0x1800|0x0400|0x68719b30
05|0x1c00|0x0400|0x8abe2466
rollingc|8080bw.c
12
rc01.bin|0x0000|0x0400|0x66fa50bf
